Warning: The created OpenGL context does not fully meet the settings that were requested
Requested: version = 1.1 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Created: version = 0.0 ; depth bits = 0 ; stencil bits = 0 ; AA level = 0 ; core = false ; debug = false ; sRGB = false
Setting vertical sync failed
magnitude;type;tk
0.75891;0;0.0006
0.75891;1;0.0006
0.75891;1;0.0006
0.730104;0;0.0006
0.730104;0;0.0006
0.730104;0;0.0006
0.730104;0;0.0006
0.730104;1;0.0006
0.730104;2;0.0006
0.680424;0;0.0006
0.680424;0;0.0006
0.680424;0;0.0006
0.680424;0;0.0006
0.680424;1;0.0006
0.680424;2;0.0006
0.00171732;1;0.0006
0.00171732;1;0.0006
1.09194;0;0.0007
1.09194;0;0.0007
1.09194;0;0.0007
1.09194;1;0.0007
1.09194;1;0.0007
1.10738;0;0.0007
1.10738;0;0.0007
1.10738;0;0.0007
1.10738;1;0.0007
1.10738;1;0.0007
1.16574;0;0.0007
1.16574;0;0.0007
1.16574;0;0.0007
1.16574;1;0.0007
1.16574;1;0.0007
1.13436;0;0.0007
1.13436;0;0.0007
1.13436;0;0.0007
1.13436;1;0.0007
1.13436;1;0.0007
1.10498;0;0.0007
1.10498;0;0.0007
1.10498;0;0.0007
1.10498;0;0.0007
1.10498;1;0.0007
1.10498;2;0.0007
1.05523;0;0.0007
1.05523;0;0.0007
1.05523;0;0.0007
1.05523;0;0.0007
1.05523;1;0.0007
1.05523;2;0.0007
0.00183291;1;0.0007
0.00183291;1;0.0007
1.54113;0;0.0008
1.54113;0;0.0008
1.54113;0;0.0008
1.54113;1;0.0008
1.54113;1;0.0008
1.55729;0;0.0008
1.55729;0;0.0008
1.55729;0;0.0008
1.55729;1;0.0008
1.55729;1;0.0008
1.61602;0;0.0008
1.61602;0;0.0008
1.61602;0;0.0008
1.61602;1;0.0008
1.61602;1;0.0008
1.58491;0;0.0008
1.58491;0;0.0008
1.58491;0;0.0008
1.58491;1;0.0008
1.58491;1;0.0008
1.55521;0;0.0008
1.55521;0;0.0008
1.55521;0;0.0008
1.55521;0;0.0008
1.55521;1;0.0008
1.55521;2;0.0008
1.50543;0;0.0008
1.50543;0;0.0008
1.50543;0;0.0008
1.50543;0;0.0008
1.50543;1;0.0008
1.50543;2;0.0008
0.00201655;0;0.0008
0.00201655;1;0.0008
0.00201655;1;0.0008
2.06591;0;0.0009
2.06591;0;0.0009
2.06591;0;0.0009
2.06591;1;0.0009
2.06591;1;0.0009
2.06591;2;0.0009
2.08251;0;0.0009
2.08251;0;0.0009
2.08251;0;0.0009
2.08251;1;0.0009
2.08251;1;0.0009
2.14146;0;0.0009
2.14146;0;0.0009
2.14146;0;0.0009
2.14146;1;0.0009
2.14146;1;0.0009
2.11053;0;0.0009
2.11053;0;0.0009
2.11053;0;0.0009
2.11053;1;0.0009
2.11053;1;0.0009
2.08063;0;0.0009
2.08063;0;0.0009
2.08063;0;0.0009
2.08063;0;0.0009
2.08063;1;0.0009
2.08063;2;0.0009
2.03084;0;0.0009
2.03084;0;0.0009
2.03084;0;0.0009
2.03084;0;0.0009
2.03084;1;0.0009
2.03084;2;0.0009
0.00227755;0;0.0009
0.00227755;1;0.0009
0.00227755;1;0.0009
2.06591;0;0.001
2.06591;0;0.001
2.06591;0;0.001
2.06591;1;0.001
2.06591;1;0.001
2.06591;2;0.001
2.08251;0;0.001
2.08251;0;0.001
2.08251;0;0.001
2.08251;1;0.001
2.08251;1;0.001
2.14146;0;0.001
2.14146;0;0.001
2.14146;0;0.001
2.14146;1;0.001
2.14146;1;0.001
2.11053;0;0.001
2.11053;0;0.001
2.11053;0;0.001
2.11053;1;0.001
2.11053;1;0.001
2.68114;0;0.001
2.68114;0;0.001
2.68114;0;0.001
2.68114;0;0.001
2.68114;1;0.001
2.68114;2;0.001
2.63134;0;0.001
2.63134;0;0.001
2.63134;0;0.001
2.63134;0;0.001
2.63134;1;0.001
2.63134;2;0.001
0.00261895;0;0.001
0.00261895;1;0.001
0.00261895;1;0.001
2.06591;0;0.0011
2.06591;0;0.0011
2.06591;0;0.0011
2.06591;1;0.0011
2.06591;1;0.0011
2.06591;2;0.0011
2.08251;0;0.0011
2.08251;0;0.0011
2.08251;0;0.0011
2.08251;1;0.0011
2.08251;1;0.0011
2.14146;0;0.0011
2.14146;0;0.0011
2.14146;0;0.0011
2.14146;1;0.0011
2.14146;1;0.0011
2.11053;0;0.0011
2.11053;0;0.0011
2.11053;0;0.0011
2.11053;1;0.0011
2.11053;1;0.0011
3.35666;0;0.0011
3.35666;0;0.0011
3.35666;0;0.0011
3.35666;0;0.0011
3.35666;1;0.0011
3.35666;2;0.0011
3.30687;0;0.0011
3.30687;0;0.0011
3.30687;0;0.0011
3.30687;0;0.0011
3.30687;1;0.0011
3.30687;2;0.0011
0.00303942;0;0.0011
0.00303942;1;0.0011
0.00303942;1;0.0011
2.06591;0;0.0012
2.06591;0;0.0012
2.06591;0;0.0012
2.06591;1;0.0012
2.06591;1;0.0012
2.06591;2;0.0012
2.08251;0;0.0012
2.08251;0;0.0012
2.08251;0;0.0012
2.08251;1;0.0012
2.08251;1;0.0012
2.14146;0;0.0012
2.14146;0;0.0012
2.14146;0;0.0012
2.14146;1;0.0012
2.14146;1;0.0012
2.11053;0;0.0012
2.11053;0;0.0012
2.11053;0;0.0012
2.11053;1;0.0012
2.11053;1;0.0012
4.10715;0;0.0012
4.10715;0;0.0012
4.10715;0;0.0012
4.10715;0;0.0012
4.10715;1;0.0012
4.10715;2;0.0012
4.05736;0;0.0012
4.05736;0;0.0012
4.05736;0;0.0012
4.05736;0;0.0012
4.05736;1;0.0012
4.05736;2;0.0012
0.00353565;0;0.0012
0.00353565;1;0.0012
0.00353565;1;0.0012
2.06591;0;0.0013
2.06591;0;0.0013
2.06591;0;0.0013
2.06591;1;0.0013
2.06591;1;0.0013
2.06591;2;0.0013
2.08251;0;0.0013
2.08251;0;0.0013
2.08251;0;0.0013
2.08251;1;0.0013
2.08251;1;0.0013
2.14146;0;0.0013
2.14146;0;0.0013
2.14146;0;0.0013
2.14146;1;0.0013
2.14146;1;0.0013
2.11053;0;0.0013
2.11053;0;0.0013
2.11053;0;0.0013
2.11053;1;0.0013
2.11053;1;0.0013
